katedra,zkratka,nazev
KFY,VPFI,Vybrané partie fyziky pro informatiky
KFY,0179,Exkurze - Interaktivní fyz. v IQ parku B
KFY,0211,VK- Praktikum mikrovlnné techniky D
KFY,0220,Vstupně výstupní komunikace počítače
KFY,0223,Experimentální využití elmg. vln C
KFY,0240,Počítačové praktikum statistické fyziky
KFY,AMAT,Nekovové anorganické materiály
KFY,AP14,Pokr. studium povrchů pomocí jader. met.
KFY,KA33,Praktikum školních pokusů D
KFY,KSPM,Souhrnný seminář - počítačové modelování
KFY,K214,Programování - C/C++
KFY,K222,Fyzika I
KFY,K619,Charakterizace materiálů I
KFY,K834,Úvod do edukometrie
KFY,MF1,Aplikace matematiky ve fyzice I
KFY,M102,Paralelní programování I
KFY,NADS2,Diplomový seminář II
KFY,PD201,Vybrané partie z elektr. spektroskopie
KFY,PZP,Praktikum základů programování
KFY,P228,Základy kvant. chemie a spektra molekul
KFY,P408,Termodynamika
KFY,P530,Úvod do kvantové fyziky
KFY,P614,Laboratorní praktikum IV
KFY,P836,Proseminář řešení fyzikálních úloh B ZŠ
KFY,P863,PVK - Fyzika plazmatu I
KGEO,B507,Odborná praxe
KGEO,CEX,Course on other university
KGEO,KRSP,Komplexní reflektivní seminář praxe
KGEO,PD201,Thesis supervision I
KGEO,PD307,Research Project I
KGEO,PD308,Research outreach I
KGEO,0134,VK - Přístrojová měření ve FG
KGEO,0135,Praktická měření ve FG
KGEO,0143,Teorie a koncepty rurální geografie
KGEO,B207,Evropská integrace
KGEO,B213,Základy práva
KGEO,B403,Odborná angličtina
KGEO,B405,Ekonomická geografie II
KGEO,B411,Monitor. vyb. prvků atmosf.a hydrosf. II
KGEO,B601,Specializační přednášky z FG
KGEO,B607,Práce s odbornou literaturou
KGEO,M400,Sociální komunikace
KGEO,PD303,National conference presentation I
KGEO,PD308,Research outreach I
KGEO,0064,VK - Malá geografická exkurze C
KGEO,0097,VK-Vybrané kapitoly z geografie Evropy B
KGEO,0113,VK - Flash prezentace
KGEO,0126,VK-Němčina pro geografy
KGEO,0131,VK-Enviromentálně historický výzkum
KGEO,0164,Udržitelná doprava ve městech
KCH,BK204,Laboratorní cvičení z analytické chemie
